Price,Headline,Address,Owner,Bedrooms,Bathrooms,Balconies,Super area,Price Per sqft,Status,Transaction type,Floor,Car parking,Furnished,Lifts,Descrption,Price breakup,Address2,Landmarks,Age of Construction,Price comparison,Expected rent,Monthly EMI
4.20 Cr,3 BHK 2835 Sq-ft Flat for Sale in Indira Nagar,"for sale in Indira Nagar, Bangalore","Agent
Urban Wall",3,3,3,2835 sqft,"14,814/sqft",Ready to Move,Resale,8 (Out of 12 Floors),2 Covered,Semi-Furnished,2,NA,"4.20 Cr ₹ 23,51,999 Approx. Registration Charges
See Other Charges","Indiranagar, Indira Nagar, Bangalore - East, Karnataka",NA,NA,NA,NA,NA
85.0 Lac,"3 BHK Flat for sale in Mallasandra, Bangalore","for sale in Shriram Symphonye, Mallasandra, Bangalore","Owner
Neeraja S Rao",3,2,4,1732 sqft,"4,907/sqft",Ready to Move,Resale,5 (Out of 12 Floors),1 Covered,NA,NA,"A wonderful opportunity is waiting for you if you are looking for spacious abode in one of the well-developed locations of Bangalore. Up for sale, this beautiful 3BHK flat in Shriram Symphony, Mallasandra is definitely worth your consideration. So, what are you waiting for? Hurry up!!!

Property Specifications

This flat is built according to Vaastu norms and well placed on the 5th floor of a 12 storied high-rise building. This flat is abundantly blessed with natural light and fresh air, thus, promising a warm and pleasant ambience.

This flat comprises three bedrooms, two bathrooms, four balconies, L shaped living cum dining area, and a modular kitchen. All bedrooms of this flat are equipped with wardrobes to keep your valuables and clothes.

Of the two western fashioned bathrooms, one bathroom is attached and one is common. Both these bathrooms are equipped with electric geysers. Among the 4 balconies, one balcony is connected to the hall (french window that opens onto a grilled balcony) whereas the remaining three balconies are linked with bedrooms.

The modular kitchen is well organized with a cooking countertop, sink and chimney. To give this flat a bright and beautiful look, vitrified tiles have been used for the flooring.

Facilities

Shriram Symphony offers a wide range of amenities like visitor parking, waste disposal water storage, kids play area, maintenance staff, outdoor tennis courts, swimming pool, lower garden intercom facility, fire fighting equipment, clubhouse, indoor squash & badminton courts, meditation are jogging and strolling track, cycling & jogging track, park, gymnasium, pool with water slides recreational, reserved parking, television facility, internet/wi-fi connectivity, private terrace/garden, multi-purpose courts and lift.

One covered parking area is available to place your vehicles and other facilities such as sufficient water supply and 100% power supply are available. Tight security is ensured along with CCTV cameras..

Locality

Mallasandra enjoys a great approach to NICE Road. Public transports such as taxis, buses, autos are easily available. Several educational institutions are located within the vicinity including the famous Kumarans School.

In case of any kind of medical emergencies, one can find Samhita Multi Speciality Clinic and Mathru Multi Speciality Hospital within the vicinity. As Metro Cash and Carry supermarket is located within 3km to 4km, all the essentials are easily available. Noted banks and ATM centers are easily accessible within a short time frame.

Overall, this is the best chance to own a beautiful residence in a friendly neighbourhood. So, do not miss this opportunity, seal this deal now!!!","85.0 Lac ₹ 4,75,999 Approx. Registration Charges ₹ 4,400 Monthly
See Other Charges","B-503., Mallasandra, Bangalore - North, Karnataka","This is very close to Kumarans School ( ICSE/CBSE), Close to NICE Road",5 to 10 years,NA,NA,NA
70.0 Lac,"2 BHK Flat for sale in Hennur Main Road, Bangalore","for sale in Venus Hydra, Hennur Main Road, Bangalore","Owner
Kiran Sam George",2,2,NA,1290 sqft,"5,426/sqft",Ready to Move,Resale,3 (Out of 5 Floors),None,NA,NA,"With every inch designed to perfection, is this amazing 2BHK flat up for sale in Venus Hydra, Hennur Main Road, Bangalore offering you a charming experience you have been dreaming to live.


Come and make your stay a memorable one where you can experience a contended way of life with the best of contemporary facilities.


Property Specifications


Located on the third floor of a five-storeyed apartment, this semi furnished flat is facing the west direction is bathed with day & night cool breeze & the natural sunlight touching your doorsteps.


To describe this flat, there are mainly two generously bedrooms, two western fashion bathrooms, three airy balconies, a living cum dining area, and a well-configured kitchen. Both the attached bathrooms are equipped with supreme quality sanitary wares & geysers for 24x7 hot water supply.


The well-ventilated balconies of which one is attached to a bedroom, one open to the hall, and the other are connected to the kitchen, overlooking the main road offering extra space to relax.


Take pleasure in cooking with your children in the thoughtfully crafted kitchen installed with a polished granite countertop, stainless steel sink, and handy cabinets. The shiny vitrified flooring covering the entire flat gives a sense of lavishness & elegance to the abode.


Facilities


Venus Hydra is a beautifully crafted society with a high-speed lift, delightful swimming pool and a clubhouse provided for your enjoyment. Parking is not a constraint as enough covered parking space for one vehicle is available.


Round the clock water supply, a generator for 100% power backup and 24 hours tight security with CCTVs surveillance for your safety is also provided.


Locality


Go shopping or catch a movie with your friends in the nearest prestigious malls like the Elements Mall which is 2.8km away, while the Reliance & Dmart are within the confines of 2km only.


Give your children an excellent education from the highly reputed Lawrence School sited within 5km range. For any kind of medical aids, you can visit the well-known Chaya Hospital which is at 4.6km, Cratis Hospital, and People Tree Hospital are within 2 km, while Columbia Asia is at 6 km.


At the distance of 3.5Km is the Bangalore East Railway Station, Chinnappa Garden Bus Stop is 5.1km away from the property while the KR Puram Station is within 7km saving your travel time. One can also avail of public transports which are easily available in this area.",70.0 Lac,"Hennur Main Road, Bangalore - North, Karnataka",NA,NA,NA,NA,NA
3.50 Cr,4 BHK Villa,"for sale in Wilasa, JP Nagar 9th Phase, Bangalore","Owner
Vishal Agarwal",4,4,2,3623 sqft,"9,661/sqft",Ready to Move,Resale,"Vitrified, Marble",2 Covered,Unfurnished,NA,NA,3.50 Cr,"Konakunte Cross, JP Nagar 9 th Phase, Bangalore 560062, JP Nagar 9th Phase, Bangalore, JP Nagar 9th Phase, Bangalore - South, Karnataka",NA,New Construction,NA,NA,NA
1.14 Cr,"3 BHK Flat for sale in Hulimavu, Bangalore","for sale in Raja Aristos, Hulimavu, Bangalore","Owner
Badarinaath Singri",3,3,3,1680 sqft,"6,786/sqft",Ready to Move,Resale,12 (Out of 12 Floors),2 Covered,NA,NA,"Up for sale is a remarkably designed 3BHK flat in “Raja Aristos”, Hulimavu, Bangalore. This property is a pretty new construction aged less than 5years and is absolutely ready to move in. So, hurry up to become the proud owner of this spectacular residence.

Property Specification

Situated on the 12th floor, this meticulously crafted 3BHK flat remains bright and airy all along the day as adequate sunlight and cool breeze seeps in. Hence, residents can enjoy the refreshing ambiance while at home.

Thoughtfully constructed across a super area of 1680sqft, this flat is complete with 3 bedrooms furnished with wardrobes, 3 bathrooms, 3 balconies, a living cum dining room, puja room and a kitchen loaded with a chimney, storage cabinets and HOB.

Further, all the bathrooms of this flat are designed in western where 2 are attached and the third one is commonly accessible. Moreover, to avail hot water, geysers are installed in two bathrooms and solar connection for the third bathroom.

Offering you the unblocked views of the beautiful garden, the well-aligned balconies here are connected to two of the bedrooms and the hall respectively. The living room of this flat is decked with a huge showcase unit. Further, vitrified tiles which are well-known for durability and easy maintenance are topped up on the flooring of this north facing abode.

Facilities

This elite society is filled with top-notch amenities such as pool, gym play area, garden, club house, tennis, badminton court, basketball court, TT, snooker table and many more. Additionally, basic facilities like uninterrupted water supply, power back up through DG power (common area and the lift), tight security with CCTV cameras installed and 2 covered car parking spaces are also provided.

Locality

This property situated in a well-developed locality has easy access to most of the key amenities thus it is an ideal destination to settle down. One can find Meenakshi Mall at a distance of 1km from this society. Also, the Meenakshi Temple is situated in the vicinity.

Noted schools are accessible at a very short distance whereas Fortis Hospital and Apollo Hospital are accessible at 2km. Further, residents will experience stress-free commuting as the upcoming metro station is dotted at 650m and other public transport facilities are easily accessible. For banking services, Axis Bank and ATM are accessible just adjacent to this society.","1.14 Cr ₹ 6,38,399 Approx. Registration Charges ₹ 5,000 Monthly
See Other Charges","Hulimavu, Bangalore, Hulimavu, Bangalore - South, Karnataka",Near by Landmark is Minaskhi Temple.,Less than 5 years,NA,NA,NA
1.25 Cr,"1996 Sq-ft Commercial Office Space for Sale in , locality, Bangalore","for sale in ITPL, Bangalore","Owner
Sharad Arora",3,3,3,1996 sqft,"6,263/sqft",Ready to Move,Resale,6 (Out of 13 Floors),None,Unfurnished,2,"Here is a perfect home that you can call your own and comfortably reside with your treasured family. Located in one of the happening locations of Parimala Skyview, Prashant layout next to Hope farm junction on ITPL main road, Bangalore, this 3BHK apartment is up for sale.


USP â?? Well maintained rooms with smartly planned layout available at a reasonable selling price make this abode a great deal. Also, its very close to ITPL tech park and it has a rooftop swimming pool.


Property Specifications


Sized 1850 sqft super area, this flat is positioned on the 6th floor of a 13storey building enjoys all the seasons throughout the year. Boasting a pleasant, bright and cool living ambience, this apartment is bathed in abundant sunlight and fresh air. Moreover, it is 100 Vaastu compliant and will surely benefit you with good health, prosperity and happiness.


This unfurnished apartment comprises 3 spacious bedrooms, 3 goodsized bathrooms, 3 lovely balconies, a living cum dining area, and a kitchen. Among the 3 bathrooms, 2 are attached to the bedrooms and one is commonly used. Also, all the western bathrooms are outfitted with necessary fittings and have provision for geysers.



Wellplaced, out of the 3 balconies, two are linked to the bedrooms and one to the living room. However, one balcony overlooks the greenery and the rest all faces greenery with roadside. The lady of your home will surely be impressed with the smartly designed and commodious kitchen. Moreover, the flooring of this flat is flawlessly covered with classy and shiny ceramic tiles.


Facilities


You can perform your household chores smoothly as prime amenities such as round the clock water supply and 100 power backup are provided. Also, you can place your vehicles in the 2 Covered underground parking.


You can also take benefit of few key amenities such as Jogging and Strolling Track, Visitor Parking, Waste Disposal, Rain Water Harvesting, Water Storage, Gymnasium, Indoor Games Room, Security, Kids Play Area, Maintenance Staff, Vaastu Compliant, Reserved Parking, Earthquake resistant, Swimming Pool, Intercom Facility, InternetWiFi Connectivity, 2 Lifts and Clubhouse


Locality


Overlooking the main road, this apartment offers easy access to prime amenities of the city infrastructural amenities. For fast commuting, public transports like taxis, autos and buses are easily accessible from this apartment. The metro station is located within a short distance of 500m only.


Banking is also convenient as some of the leading banks and ATMs are located in the vicinity. Within a short radius of 500m, a number of reputed schools, shopping malls, supermarkets and hospitals are located.",1.25 Cr,"Flat No.606 6th Floor B Block Parimala Skyview ITPL main road near Hope Farm junction Bangalore, ITPL, Bangalore - East, Karnataka",Near GR Tech Park.,New Construction,NA,NA,NA
1.36 Cr,"3 BHK Flat for sale in Doddakannelli, Bangalore","for sale in Surbacon Maple, Doddakannelli, Bangalore","Owner
Suresh matthew",3,3,2,2100 sqft,"6,500/sqft",Ready to Move,Resale,2 (Out of 4 Floors),2 Covered,NA,NA,"Located close to Wipro, RGA Techpark and Cessna Park, this premium and semi-furnished 3 BHK flat for sale in Surbacon Maple, Doddakannelli, Bangalore could be an amazing deal for working professionals. The flat is close to some of the top-rated schools and hospitals of the city, which is an added advantage as well.

Property specifications

Situated on the 2nd floor of a 4 storied building, this flat with the east-facing entrance is indeed blessed with lots of natural light and fresh breeze. Plus, the flat is 100% vaastu compliant, promising a prosperous life full of peace and harmony to its residents. So, hurry up..!

With 3 spacious bedrooms, 3 attached bathrooms and a light-filled living cum dining area, this flat offers premium living space to enjoy family togetherness with complete bliss. There are wardrobes in all the three bedrooms to keep your clothes, accessories and other important things in order. The bathrooms are modern and well-appointed with western sanitary wares, geysers, vanity, mirrors and exhaust fans.

In addition, the flat comprises a puja room and 2 balconies overlooking the main road & wonderful tree plantations. One of the balconies is attached to the hall whereas the second balcony adjoins a bedroom. The well-designed modular kitchen ensures that the homemaker has a comfortable space to cook the daily meals.

Electrical fittings, fans, and lights are fitted throughout the flat while the flooring is of vitrified tiles, which are known for their durability and low-maintenance features.

Facilities

:Surbacon Maple offers an array of modern amenities and facilities like a clubhouse, gym, swimming pool, community hall, kids play area, 24hours water supply, 100% power backup and round the clock security with CCTV surveillance. The flat comes with 2 covered car parking slots, which is a key advantage.

Locality

:Within the short distance of 1.5km you have Prakriya Green Wisdom School and prominent shopping malls like Star Bazar, Big Bazar and M.K.Retail are available at a radius of 2kms from this residence. To continue, you have the famous Columbia Asia Hospital within 3km stretch for the best medical treatment. You won't face any commuting issues in this locality, as autos and buses are widely available all throughout the day. Plus, you also have Carmelaram railway station at a short distance of 2kms.","1.36 Cr ₹ 7,64,399 Approx. Registration Charges ₹ 5,775 Monthly
See Other Charges","B-201., Doddakannelli, Bangalore - East, Karnataka","Wipro HQ,Wipro New Facility,RGA Techpark,
StarBazar,BigBazar.M.K.Retai",5 to 10 years,NA,NA,NA
55.0 Lac,"2 BHK Flat for sale in Budigere, Bangalore","for sale in Shriram Greenfield, Budigere, Bangalore","Owner
Lakshmareddy",2,2,2,1065 sqft,"5,164/sqft",No/Rare Powercut,Resale,12 (Out of 20 Floors),1 Covered,Unfurnished,NA,"Elegantly being constructed & intelligently planned, here is the most splendid 2BHK flat available for sale and is located in one of the hi-tech societies named as Shriram Greenfield in Budigere, Bangalore. So, what are you waiting for??? Seize this property quickly to enjoy a swish & tranquil lifestyle forever…!

Note The possession will start from March 2021.

Property Specifications

Approved by Bruhat Bengaluru Mahanagara Palike, this under-construction flat faces towards the west direction and comes with freehold ownership right thus is truly a safe & lucrative investment deal to go with.

Presenting you with the pristine ambience & hustle-bustle free lifestyle, this flat is comfortably rested on the 12th floor of the 20-storeyed building thus receives an ample amount of natural light & fresh air all along the day.

Being designed to its perfection, this unfurnished flat comprises 2 bedrooms, 2 bathrooms, 2 balconies, a living cum dining area and a regular kitchen with a shiny platform & sink unit.

Both the bedrooms are sizable and can be tailored as per your needs & requirements. Fashioned in a western style & outfitted with branded geysers, 1 bathroom is attached whereas the other bathroom is for common usage.

Overlooking the amazing views of the lush greenery, 1 balcony is connected to the living cum dining area whereas the other balcony is linked with the kitchen. Further, the master bedroom is decked with wooden flooring whereas the rest of the rooms are embellished with the vitrified tiles on the flooring.

Facilities

The top-notch amenities like pool, gym, club house, community center, jogging track, kids play area, badminton, tennis court, squash court, Jacuzzi steam, sauna and library will be offered in this imperial society.

The basic facilities such as 1 covered parking slot, 24hours water supply, 100% power backup, manned security and CCTV cameras will be provided here.

Locality

The Sri Ram School, a restaurant and a shopping complex are available in the society itself. Further, the other civic utilities such as famous shopping malls, local market, supermarkets, grocery stores, chemical stores, daily need shops, international schools, notable hospitals, renowned banks and ATMs are available within a periphery of 2kms from this residential property.

To commute to various places conveniently, you can access the upcoming metro station at a distance of 8kms and different public transports like autos, buses & taxis within the short range from this society.",55.0 Lac,"Budigere, Bangalore, Budigere, Bangalore - North, Karnataka",NA,Under Construction,NA,NA,NA
1.48 Cr,"3 BHK Flat for sale in Next to Elements Mall, Bangalore","for sale in G Corp The Icon North, Thanisandra Main Road, Bangalore","Owner
pradeep",3,3,2,1795 sqft,"8,245/sqft",Ready to Move,Resale,8 (Out of 27 Floors),1 Covered,NA,NA,"Designed with perfection, this stunning 3BHK flat in G Corp The Icon, Thanisandra Main Road, Bangalore is truly worth investing your hard-earned money. G Corp The Icon is a well-planned residential project and has amazing connectivity to all the prime facilities. Therefore, this property would be an ideal place to live with your family members. So, hurry up!!!

USP - The prestigious Manyata Tech Park is located adjacent to this project. Therefore, this property will be a perfect place for professionals working in this neighborhood.

Property Specifications

Situated on the 8th floor of a 27 storeyed high-rise building, this flat is abundantly blessed with fresh air and natural light, thus promising a pleasant working ambience. To ensure prosperity and happiness, this flat is beautifully crafted as per Vaastu principles.

Coming to the layout of this abode, it features 3 bedrooms, living cum dining room, kitchen, 3 bathrooms, 2 balconies and a servant room with western style bathroom. Individually linked with the living area and master bedroom, both the balconies overlooking the surroundings are ideal for enjoying your morning cup of tea/coffee.

Among the three western fashioned bathrooms, one bathroom is common whereas two bathrooms are attached to two bedrooms. Furthermore, superior quality vitrified tiles have been used for the flooring, which further gives this abode a bright and wonderful look.

Facilities

Prime facilities such as uninterrupted water supply, one covered parking space and power backup are available. For complete safety, CCTV cameras have been installed and security guards are also present throughout the day.

Locality

The famous Elements Mall is located right next to the property, hence you can pay a visit to this mall during your free time for a good shopping experience. Renowned schools are located within a radius of 2km to 3km whereas hospitals can be found within 3km.

A number of banks/ATMs can be found within the vicinity for all your banking services. The Bangalore Cantt Railway Station lies within 5km to 6km and the upcoming Nagavara Metro Station is just 1km away.",1.48 Cr,"Adj To Manyata Tech Park, Thanisandra Main Road, Bangalore - North, Karnataka",Next to Elements Mall on Main Thanisandara Road,New Construction,NA,NA,NA
1.17 Cr,3 BHK Villa,"for sale in Muthanallur, Bangalore","Owner
Mark One",3,3,2,1810 sqft,"6,464/sqft",NA,Resale,Vitrified,None,Unfurnished,NA,"Grab the chance of living an exceptional and unmatched life with your treasured ones in Bangalore. Here is an immaculately designed 4BHK Villa that is available for sale in Muthanallur at an absolutely great selling price. Standing in one of the most affluent and well-habited localities, this beautiful villa boasts a peaceful, modern and high-quality living to the residents.

Property Specifications

North east facing property, this beautiful villa is constructed over the ground floor, first floor and the second floor. Well-planned to receive ample sunlight and fresh air, this villa meets all your expectations and gives you wonderful, luminous and airy accommodation.

Coming to the floor plan, the ground floor comes with a bedroom with an attached western style bathroom, dining area, hall, well configured kitchen and a wide and airy balcony. The balcony is attached to a bedroom and is the right place to spend some family time.

The first floor is inclusive of 2 bedrooms with en-suite western style bathroom and a hall with an attached balcony. Further, the second floor consists of a bedroom with an attached western fashion bathroom. Moreover, the flooring of the entire villa is adorned with spotless, durable and easy to maintain - vitrified tiles whereas 2 of the bedrooms are covered with wooden flooring.

Note Right now this property is under construction, the possession of which will be by December 2021.

Facilities

Open parking for, uninterrupted water supply and 100% power backup are a few most important facilities available with this villa for your comfort.

Locality

The location of this villa is quite advantageous and you can access various banks, ATMs, hospitals, schools, shops, etc., easily from this villa. D mart is located at a distance of 5km which will help you with your grocery shopping.

Reputed schools such as Ebenezer School and Bethany School are situated at 2.5km whereas DPS is at 6km. for medical emergencies; Narayana Hospital and Sparsh Hospital are located at 6km from this gated community.

All the modes of public transport like buses, taxis and autos as well as are easily available from this area. Also, nationalized banks and ATMs are accessible at a very short distance which will help you accomplish your banking needs.",1.17 Cr,"Muthanallur 42 Mark One Villas, Muthanallur, Bangalore - South, Karnataka",Bethany High School And Ebenezer International School Kidzee Play Home,Under Construction,NA,NA,NA
1.25 Cr,5 BHK Residential House - 1500 Sq-ft,"For Sale Yelahanka New Town, Bangalore","Agent
Murthy",5,2,2,1500 sqft,"8,333/sqft",Ready to Move,Resale,in K R Puram,None,Semi-Furnished,NA,NA,"1.25 Cr ₹ 6,99,999 Approx. Registration Charges
See Other Charges","yelahanka new town., Yelahanka New Town, Bangalore - North, Karnataka",Yelahanka chik bum Sandra,New Construction,NA,NA,NA
1.44 Cr,"3 BHK Flat for sale in Kanakapura Road, Bangalore","for sale in Prestige Falcon City, Kanakapura Road, Bangalore","Owner
Vaibhav Jain",3 See Dimensions,3,NA,1603 sqft,"8,983/sqft",Ready to Move,Resale,7 (Out of 32 Floors),None,NA,NA,This multistorey apartment at 7th floor and faces East direction. It overlooks garden and main road. It is offering a beautiful view from the apartment with airy interiors. Ample space for covered car parking for residents and visitors. The multistorey apartment is newly constructed.,"1.44 Cr ₹ 8,06,399 Approx. Registration Charges ₹ 4,500 Monthly
See Other Charges","05 prestige falcon city Kanakapura road konanakunte Bangalore, Kanakapura Road, Bangalore - South, Karnataka",konankunte Metro Station.,New Construction,NA,NA,NA
89.0 Lac,"3 BHK Flat for sale in Devanahalli, Bangalore","for sale in Ozone Pavilion, Devanahalli, Bangalore","Owner
rupesh",3 See Dimensions,3,2,1532 sqft,"5,809/sqft",Ready to Move,Resale,2 (Out of 8 Floors),1 Covered,NA,NA,"Making realty dreams a reality..!!! Yes, Ozone Pavilion turns your dreams into existence that presents before you a delightfully constructed accommodation of 3 BHK Flat up for sale in Devanahalli, Bangalore.

Property Specifications

Loaded with a bouquet of modern amenities, this lavish yet delightfully designed infrastructure is an exclusively corner flat showered with cool breeze & natural sunlight. This Vastu compliant flat faces the most auspicious east direction & is placed on the 2nd floor of an eight-storeyed apartment.

The layout of this beautiful flat features 3 spacious bedrooms, 3 chic bathrooms, 2 pretty balconies, an L-Shaped living cum dining area, a puja cabinet in the dining area and a kitchen.

All the bedrooms are beautified with the decorative wardrobes offering you ample space to keep your apparels and other accessories. Designed in the western fashion, are the three bathrooms, of which two are attached, while the other is commonly available.

A beautifully crafted side garden is visible from the well-aligned balconies, circulating the cool breeze in the abode, where both the balconies open to the hall and other to the bedroom.

Provided with good space for cooking the contemporarily designed is bedecked with a granite countertop, a stainless steel sink, a branded chimney and classy cabinets. Adding on to the aesthetic appearance of this is the stunning vitrified tiles flooring that is extremely durable & is resistant to stains.

Facilities

Ozone Pavilion is equipped with modern amenities like gymnasium, health club – steam, sauna and jacuzzi, pool billiards, multipurpose hall, departmental convenience store, pharmacy, indoor badminton court, yoga aerobics, crèche day care center.

A few amenities like library reading room, salon men & women, squash courts, table tennis, bowling alley, kids gaming zone, 25 seater minitheatre, café, lounge bar, alfresco dining, and business center are also available.

Other prime facilities like 1 covered parking space, 24 hours water supply, 100% power backup, and high-end security is provided with CCTV.

Locality

Catch a movie, go shopping or enjoy match in the nearest malls, shopping malls and a grocery stores dotted at close proximity. National Public School is not beyond 300m of sensible range.

Acquiring quick medical assistance is not a problem as within the confines of this society are a few esteemed hospitals, clinics and nursing homes. You can also find a large number of banks and ATM centers at close proximity.

Blessed with best connectivity to the upcoming metro station sited at 1km, and public transport close by making you reach within no time to the major parts of the city.","89.0 Lac ₹ 4,98,399 Approx. Registration Charges ₹ 3,000 Monthly
See Other Charges","C101., Devanahalli, Bangalore - North, Karnataka","Urbana Pavilion - Overview
The Urbana Pavilion, which is located near",New Construction,NA,NA,NA
55.0 Lac,2 BHK Builder Floor,"for sale in Gaana Regency, Kumaraswamy Layout, Bangalore","Owner
uday",2,2,NA,800 sqft,"6,875/sqft",Ready to Move,Resale,"2 BHK Builder Floor
for sale in Gaana Regency, Kumaraswamy Layout, Bangalore",1 Covered,NA,NA,"Hello...! Here is the most fabulous & delightful 2BHK builder floor up for sale and is located in one of the hi-tech societies named as Gaana Regency in Kumaraswamy Layout, Bangalore. So, without any further delay, grab this property as soon as possible and stay joyfully with your family.



Property Specifications


Approved by Bruhat Bengaluru Mahanagara Palike, this east facing builder floor is aged between 5 to 10 years and comes with freehold ownership thus is truly a safe & profitable investment deal to proceed.


Spreading across 800sqft of a super area & 750sqft of a carpet area, this builder floor is built in accordance with vaastu guidelines and is comfortably leveled on the 2nd floor of the 3-storeyed building.


Impeccably designed and mindfully planned, this semi-furnished builder floor comprises 2 bedrooms, 2 bathrooms, 1 balcony, a living cum dining area and a well-organized kitchen with granite platform, sink & crockery unit.


Both the bedrooms are well-crafted with the wardrobes and covered lofts to offer you ample storage space. Among the 2 western theme bathrooms, 1 is attached and the other is common. Additionally, one of these bathrooms is installed with top quality geyser for instant hot water supply.


Overlooking the other buildings, the airy balcony is connected to the living area where you can relax during your free time. Further, the living cum dining area is furnished with the TV unit and bookshelf. Furthermore, all the rooms are bedecked with the vitrified tiles flooring to give a classy look for overall appearance.


Facilities


To accommodate your vehicles safely, a covered parking slot (1 car & bike) is available for this residence. Round the clock water supply and 100% power backup facilities are provided here. To keep you safe & secure, manned security is appointed and CCTV cameras are installed for 24X7.


Locality


The most prominent Narayana e-Techno School is found within the shortest distance from this residential property. Also, the eateries like Pizza Hut, Dominos, etc are available nearby this builder floor. The notable Ramakrishna Hospital can be accessed within 0.5km for any medical emergency.


You can find plenty of recognized banks and ATMs within the short range for any banking requirements. To commute to other parts of the city comfortably, you can avail Yelachenahalli Metro Station within 0.5km and different public transports like autos, buses & taxis within the vicinity.","55.0 Lac ₹ 3,07,999 Approx. Registration Charges ₹ 2,500 Monthly
See Other Charges","Flat no:204, 2nd floor, 1st block, gaana regency, yelachanahally, off kanakapura road, bangalore -560078Kumaraswamy Layout, Bangalore, Karnataka","Flat is close to Metro Station, malls,hospitals and schools.",5 to 10 years,NA,NA,NA
2.40 Cr,3 BHK Villa,"for sale in Whitefield-Hoskote Road, Bangalore","Owner
Sundar",3,4,NA,3300 sqft,"7,273/sqft",Ready to Move,Resale,NA,None,Furnished,NA,NA,2.40 Cr,"Belathur Main Road, Whitefield - Hoskote Rd, Seegehalli, Bengaluru, Karnataka, Whitefield-Hoskote Road, Bangalore - East, Karnataka",NA,5 to 10 years,NA,NA,NA
72.5 Lac,2 BHK Builder Floor,"for sale in Manyata Tech Park, Bangalore","Owner
Srinivas Rao",2 See Dimensions,2,2,1245 sqft,"5,823/sqft",Ready to Move,Resale,"2 BHK Builder Floor
for sale in Manyata Tech Park, Bangalore",1 Covered,Semi-Furnished,3,"Bring and airy, a 2 BHK Builder Floor located in Manyata Tech Park, Bangalore is up for sale. Extremely attractive, this flat gives its residents accommodation that is best for dwelling in with their family.

Property Specifications

Well-placed on the 4th floor, this immaculate flat is tastefully crafted with generous space keeping family needs in mind. It is a east facing flat and offers you a versatile and spacious accommodation.

Vaastu compliance has been considered to bestow a happy and healthy living, thus making this flat worth buying. The flat is housed in a peaceful locality and is blessed with ample ventilation and natural light all throughout the seasons.

Gracefully planned to include 2 bedrooms, 2 bathrooms, 2 balconies, living cum dining room, a pooja room and kitchen, this residence is semi-furnished. The flat consists of two western style bathrooms, of which one is attached and other is common to the flat. Both the bathrooms are equipped with geysers to ensure 24*7 hot water supply.

Splendid and airy balconies attached to the bedroom and hall provides unblocked views of the Manyata Tech Park. Coming to the bedrooms, wardrobes have been fixed to place all your accessories systematically.

The living room is attractive whereas the kitchen has been intelligently planned and equipped with granite platform and sink. Entire flat embracing the high-quality granite tiles flooring.

Facilities

This flat is provided with all the prime facilities like 24hours water supply, power backup, 1 covered parking slot, and a security guard with CCTV cameras. Also, the swimming pool, clubhouse, gym, and kids play area are few key amenities provided by society.

Locality

This flat is located within 5min from the Manayata Tech Park and has more than 40 IT companies with more than 1 lakh employees.

Elements Mall is the nearest shopping centre located half a kilometre away from this property. DPS and Vidya Vikas School are located within a stretch of 4km.

Aster CMI and Columbia Asia Hospital are a few top medical facilities accessible within the locality. Upcoming metro station and other public transport such as autos, taxis., etc., makes conveyance from this place easy.","72.5 Lac ₹ 4,05,999 Approx. Registration Charges ₹ 3,200 Monthly
See Other Charges","Survey No.83 5A, Outer Ring Road Manyata Tech Business Park, Circle, Nagavara, Bengaluru, Karnataka 560045, India, Manyata Tech Park, Bangalore - North, Karnataka","Manayata Tech Park, Upcoming Metro Station, Elements Mall, Nagavara",10 to 15 years,NA,NA,NA
